,"301 ","302 ","303 ","304 ","306 ","307 ","308 ","309 ","312 ","313 ","314 ","315 ","317 ","321 ","322 ","327 ","328 ","329 ","333 ","334 ","335 ","336 ","343 ","344 ","345 ","346 ","348 ","349 ","353 ","355 ","358 ","361 ","372 ","374 ","375 ","376 ",377
"Porovnávání výsledků hospodaření s předcházejícími obdobími ",,"č ",,,,,,,,,,,,,"č ",,"č ",,,"x ",,,,,,,,,,,,,,,,,"č"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rozbor rovnoměrnosti čerpání výdajů se zdůvodněním výkyvů v jednotlivých čtvrtletích roku (zvlášť běžné výdaje a kapitálové výdaje)",,"x ","č ","x ",,,,,,,"č ","č ","č ","x ",,,,"č ",,"x ",,,,,,"x ",,,,"č ",,,,,,"č ","x"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Uvedení výsledků kontrol ","č ",,,,,,,,,,,,,,"č ",,,,,,"č",,,,,,,,,,,,,,,,
"Uvedení přijatých opatření vč. zhodnocení jejich plnění ","č ",,,,,,,,"x ",,,,,"x ","x ",,,"č ",,,"č ","x ",,,,,"č ",,"č ",,,"č ",,"č",,,
"Komentář k plnění závazných ukazatelů ",,"č ",,,,,,,,,,,,,"č",,,,,,,,,,,,,,,,,,,,,,
"Komentář vč. zapojení mimorozpočtových zdrojů ",,,,,,,,,,,"č",,,,,,,,,,,,,,,,,,,,,,,,,,
"Komentář k rozpočtovým opatřením, jejich vyčíslení a zdůvodnění ","č ","č ",,"č ",,,,,,,,,"č ","x ","č ",,,"č ","č ",,,,,,,,,,,,,,"č ","č ",,,"č"
"Komentář v členění dle jednotlivých oblastí hospodaření ",,"č ",,"č ","x ",,,,,,,,,"x ",,,,"č ",,,,,,,,,,,,,,,,,,,"č"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vyhodnocení příjmů kapitoly (zejména nedaňové, kapitálové, přijaté transfery",,,,,,,,,,,,,,,,,,"č",,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Příjmy z rozpočtu EU členěny podle jednotlivých nástrojů ",,,,,,,,,,,,,,,,,,"č ",,,,,,,,,,,"č",,,,,,,,
"Převody z vlastních fondů do příjmů kapitoly ",,,,,,,,,,"x ",,,,,,,,,,,,,,,,,,"č ",,"x",,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Vyčíslení a komentování daňových a nedaňových příjmů (správní poplatky, soudní poplatky, pokuty",,,,,"č ",,"č ",,,,,"č ","č ",,"č ",,,"č ",,,,,,,,,,,"č ",,,,"č ",,"č",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Zhodnocení výdajů ve vztahu ke státnímu rozpočtu vč. zdůvodnění případného nízkého plnění",,,,,,,,,,,,"x ",,,,,,,,,,,,,"č ",,,,"č",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hodnocení výdajů ke stavu implementace programu nebo projektu ",,,,,,,,,,,,"x ",,,,,,,,,,,,,"x",,,,,,,,,,,,
"Informace o nárocích z nespotřebovaných výdajů ",,,,,,"č ",,,,,"č ",,,,,,,,,,,,"č ",,"č ",,,,"x",,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Komentář výdajů na platy a ostatní platby za provedenou práci v rámci společných programů ČR a E",,,,,,,,,,,"x ",,"x ",,"x ",,"x ","x ",,,,,,,"č ",,,,"x ",,"x",,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Rozbor zaměstnanosti a čerpání mzdových prostředků v rozdělení na organizační složky státu a příspěvkové organizace",,"č ","č ",,,,,,,,,,,,"č",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hodnocení hospodárnosti, efektivnosti a účelnosti vynakládání výdajů ",,"x ","x ","x ","č ","x ",,,,"č ","x ","x ","x ","č ","x ",,"č ","č ",,,,"x ","č ","č ","č ","č ","x ","č ","č ","č ","x ",,,"x ","č ",,"x"
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Hodnocení a vývoj neinvestičních transferů poskytnutých příspěvkovým a podobným organizacím",,,,,"č ",,,,,,,,,"č ","č",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Komentář výsledku hospodaření příspěvkových organizací, porovnání s předchozími roky, příčiny ztrátovosti, návrhy řešení ztrátovosti",,,,,"č ","č ",,,,,,,"x ",,"č ",,,"č ",,,"č ","č",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Čerpání a vývoj neinvestičních transferů poskytnutých neziskovým a podobným organizacím",,,,,"č ",,,,,,,,,"č ","č ",,,,,,,"č ",,,,,,,,,,,,,"x",,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Čerpání a vývoj investičních transferů poskytnutých neziskovým a podobným organizacím",,,,,,,,,,,,,,,"č",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
